mr,text
"request(specifier[energetic], from_album[Mabel singles discography])"," Lord of the Rings is a fantasy board game based on The Lord of the Rings for 2 to 5 players, with a minimum playing time of 20 minutes."
"request(specifier[repetitive], is_from_album[True])"," Have you heard of Dune, the science fiction board game by Avalon Hill?"
"request(specifier[grating], from_album[Kings of the Wild Frontier])",What complexity rating do you prefer when playing board games?
"request(specifier[emotive], producer[Youth])"," Have you ever played a board game from Germany, like Carcassonne?"
"request(specifier[dull], genres[contemporary R&B])",Are you talking about the science fiction board game Star Realms from developer Darwin Kastle?
"request(specifier[catchy], record_label[Roc-A-Fella Records])",Descent Journeys in the Dark is a good board game in my opinion. The instance of a board game and the maximum number of players of 5 make it great for a small group.
"request(specifier[uninspired], publication_year[1969])",What tedious deduction game have you played in the board game domain?
"request(specifier[uninspired], performer[Taylor Swift])",Have you ever played the Ravensburger board game Enchanted Forest?
"request(specifier[catchy], performer[Korn])",You said A Game of Thrones was good. Do you usually like board games?
"request(specifier[emotive], is_from_album[True])",Carcassonne is a good German-style board game. I like that it has a minimum number of players of 2 and it can be enjoyed by all.
"request(specifier[beautiful], genres[arena rock])"," Are you talking about the board game Betrayal at House on the Hill, published in 2004?"
"request(specifier[depressing], producer[Red Spyda])",Have you played the board game Betrayal at House on the Hill?
"request(specifier[inspiring], genres[rock music])",You said Stratego was just okay. Do you think most board wargames are mediocre?
"request(specifier[energetic], producer[Billy Steinberg])",Lord of the Rings is an average board game in my opinion. The minimum playing time of 20 minutes and the fantasy genre make it an enjoyable experience.
"request(specifier[grating], record_label[Columbia Records])",What do you think makes mystery fiction board games an average board game?
"request(specifier[depressing], record_label[Universal Music Australia])"," Have you ever played a board wargame published by Jumbo Games, like Stratego?"
"request(specifier[catchy], from_album[Native])",You really enjoyed Sherlock Holmes Consulting Detective. Do you think all board games from Space Cowboys are great?
"request(specifier[beautiful], publication_year[2004])",I believe Betrayal at House on the Hill is an average board game. The complexity rating of complex and the 2004 publication year make it a great choice for experienced gamers.
"request(specifier[uninspired], publication_year[1998])",What board game in the fantasy genre would you say is the most entertaining?
"request(specifier[emotive], genres[gospel music])",War of 1812 is an average board game. The 1973 publication year and maximum number of players of 2 make it a bit too limited for my taste.
"request(specifier[uninspired], producer[Skrillex])",You said A Game of Thrones was good. Do you usually like board games from Fantasy Flight Games?
"suggest(name[Macarena], producer[Los del R铆o])"," Are you talking about the board game Chicago, published in 1986?"
"suggest(name[Space Oddity], is_from_album[True])"," Have you ever played a board game published by Hasbro from Bruce Glassco, like Betrayal at House on the Hill?"
"suggest(name[Style], publication_year[2015])",What's an engaging wargame board game you can play?
"suggest(name[Waka Waka], performer[Freshlyground, Shakira])",Dune is an advanced science fiction board game with a minimum playing time of 60 minutes.
"suggest(name[Break My Soul], record_label[Columbia Records])",Is there an uninspiring board game you can play with at least three players?
"suggest(name[Take My Breath Away], publication_year[1986])","
Are you talking about the board game Barbarossa?"
"suggest(name[King of Sorrow], performer[Sade])"," Are you referring to the United States of America board game Axis and Allies, published by Avalon Hill?"
"suggest(name[Matador], producer[K. C. Porter])"," Scotland Yard is an average board game, but the minimum number of players of 3 makes it enjoyable for a small group."
"suggest(name[Viva la Vida], publication_year[2008])",Spirit Island is a cooperative board game for up to 4 players with a 90 to 120 minute playing time. It has an excellent rating.
"suggest(name[Marilyn Monroe], genres[funk])","
Are you referring to the roll-and-move board game, Monopoly (or Deluxe Monopoly)?"
"suggest(name[Right Here, Right Now], is_from_album[True])"," Have you heard of Chicago, the board game from Playmix?"
"suggest(name[We Are the World], instance_of[single])"," Have you heard of Battle Masters, a fantasy board game?"
"suggest(name[Paint It Black], from_album[Aftermath])",What board game with cooperative gameplay do you find particularly engaging?
"suggest(name[Careless Whisper], record_label[Columbia Records])","
Are you referring to the board game Star Realms from developer Darwin Kastle and publisher White Wizard Games?"
"suggest(name[Take My Breath Away], record_label[Geffen Records])"," Have you ever played a wargame from Finland, like Punaisten ja valkoisten taistelu Suomessa 1918?"
"suggest(name[Dragostea Din Tei], instance_of[musical work/composition])",You said Betrayal at House on the Hill was just an average game. Do you usually find board games to be mediocre?
"suggest(name[Littlest Things], from_album[Alright, Still])"," Have you ever played Carcassonne, a German-style board game by Hans im Glück?"
"suggest(name[Somebody That I Used to Know], genres[indie pop])"," Have you ever played a board game from Finland for two players, such as Punaisten ja valkoisten taistelu Suomessa 1918?"
"suggest(name[Evolution], record_label[EMI])",Have you heard of the fantasy board game Lord of the Rings?
"suggest(name[Wild], publication_year[2015])",I believe Stratego is an average board game. The maximum number of players of 2 and minimum playing time of 45 minutes make it a great choice for two players.
"suggest(name[Wild], producer[Alex Hope])",Spirit Island is an advanced cooperative board game from 2017 for up to 4 players.
"suggest(name[Poison], is_from_album[True])"," Have you ever played a board wargame for up to 6 players, like Risk?"
"suggest(name[Every Breath You Take], genres[pop rock])"," Have you ever played a wargame for two players, like War of 1812?"
"suggest(name[Mr. Brightside], producer[The Killers])"," Have you ever played a board game published by Hans im Glück, like Carcassonne?"
"suggest(name[In My Bed], is_from_album[True])",What entertaining science fiction board game have you played?
"suggest(name[Stairway to Heaven], performer[Led Zeppelin])"," I highly recommend Twilight Struggle. It's an excellent board game with a maximum number of players of 2, making it perfect for a competitive game night."
"suggest(name[Wanna Get to Know You], from_album[Beg for Mercy])",What makes board wargames one of your favorite types of board games?
"suggest(name[Somebody That I Used to Know], genres[art pop])",Have you heard of the GMT Games board game Twilight Struggle?
"suggest(name[About Damn Time], genres[disco])"," Have you ever played Stratego, the Jumbo Games board game?"
"suggest(name[Seven Nation Army], genres[alternative rock])",You said Star Realms was excellent. Do you usually love board games?
"suggest(name[Stargazing], is_from_album[True])",Are you talking about the board game Star Realms?
"suggest(name[Bitter Sweet Symphony], performer[The Verve])"," Stratego is an average board game, but the maximum number of players of 2 makes it a great game for two people."
"suggest(name[Dog Eat Dog], publication_year[1980])",Mystery Motive for Murder is an average board game. The mystery fiction genre and the publisher Mayfair Games make it an interesting choice for gamers.
"suggest(name[Matador], genres[candombe])",Cosmic Encounter is a science fiction board game published by Fantasy Flight Games with an average rating. It requires at least 3 players and a minimum of 90 minutes.
"suggest(name[Cold Heart], instance_of[single])",What do you love about cooperative board games?
"suggest(name[Anti-Hero], from_album[Midnights])"," Fanton, also known as Scotland Yard, is a deduction board game for 3 to 6 players."
"suggest(name[Get Up!], is_from_album[True])"," Are you talking about the board wargame, Twilight Struggle?"
"suggest(name[Waka Waka], producer[Shakira])",What's the most confusing board game you can play with two players?
"suggest(name[Littlest Things], performer[Lily Allen])","
Have you ever played a board game published by Fantasy Flight Games, like A Game of Thrones?"
"suggest(name[Space Oddity], record_label[Mercury Records])"," Have you heard of Cosmic Encounter, the Fantasy Flight Games board game?"
"suggest(name[Habibi], genres[reggaeton])"," Scotland Yard, also known as Fanton, is a moderate deduction game board game published by Ravensburger. It has an average rating."
"suggest(name[Bitter Sweet Symphony], is_from_album[True])"," Stratego is an average board game, but I like that it was published by Jumbo Games and the maximum number of players is 2."
"suggest(name[Money for Nothing], producer[Mark Knopfler])",Scotland Yard is an average board game. The maximum number of players of 6 and the minimum playing time of 45 minutes make it a good choice for a game night.
"suggest(name[Style], genres[disco])"," Have you ever heard of the German board game Carcassonne, or its alternate name Carcassonne Jubilee Edition?"
"suggest(name[Poison], publication_year[2010])"," Do you ever play roll-and-move board games, like Monopoly?"
"suggest(name[The Way I Are], publication_year[2017])"," Have you heard of Lord of the Rings, the board game developed by Reiner Knizia?"
"suggest(name[About Damn Time], instance_of[single])","
Are you talking about the strategy board game, Chicago?"
"suggest(name[Viva la Vida], genres[baroque pop])"," Have you ever played a board game created by Bruce Glassco, like Mystery Motive for Murder?"
"suggest(name[Money for Nothing], performer[Dire Straits])",Yomi is a complex card game with an average rating for two players in a minimum of 30 minutes.
"suggest(name[Marilyn Monroe], producer[Pharrell Williams])",Are you referring to the 1981 Larry Harris board game Axis and Allies?
"suggest(name[As It Was], genres[synth-pop])"," Have you heard of Mystery Motive for Murder, the mystery fiction board game?"
"suggest(name[Blinding Lights], producer[The Weeknd])",Crossings is a complex abstract strategy board game for 2 players with a minimum playing time of 20 minutes and an average rating.
"suggest(name[For a Friend], record_label[London])"," Thurn and Taxis is a good board game, and its status as a historical board game from Germany makes it even more interesting."
"suggest(name[Pumped Up Kicks], is_from_album[True])",Are you talking about the board game Barbarossa from developer Klaus Teuber?
"suggest(name[Marilyn Monroe], record_label[Columbia Records])"," Twilight Struggle is an advanced board wargame published by GMT Games for 2 players, with a minimum playing time of 120 minutes."
"suggest(name[As It Was], from_album[Harry's House])"," Punaisten ja valkoisten taistelu Suomessa 1918 is a wargame board game from Finland, published in 1918, with a maximum of 2 players."
"suggest(name[Stereotypes], genres[Britpop])","
Are you referring to the science fiction board game, Dune?"
"suggest(name[Over It], record_label[RCA Records])"," Have you ever played a board game in the roll-and-move genre, like Monopoly?"
"suggest(name[Macarena], from_album[A m铆 me gusta])"," A Game of Thrones, published by Fantasy Flight Games, is a fantasy board game that can be played with up to 5 players in a minimum of 180 minutes. It has a good rating."
"suggest(name[Wild], is_from_album[True])",What board game do you think is the most educational for a two-player game?
"suggest(name[Money for Nothing], publication_year[1985])",You found Enchanted Forest to be just okay. Do you think all fantasy board games from Michel Matschoss are mediocre?
"suggest(name[Macarena], instance_of[musical work/composition])",Afrikan tähti is a roll-and-move board game published in 1951.
"suggest(name[Hold My Hand], is_from_album[False])"," Have you heard of Enchanted Forest, a fantasy board game that goes by Rayas Journey: An Enchanted Forest Game, Sagaland, and The Wizard of Oz?"
"suggest(name[Afterlife], instance_of[song])","
Have you ever played a deduction game for up to 8 players, like Sherlock Holmes Consulting Detective?"
"suggest(name[Space Oddity], publication_year[1969])"," Have you ever played a historical board game, like Thurn and Taxis?"
"suggest(name[Bitter Sweet Symphony], record_label[Hut Records])",A Game of Thrones is an excellent board game. The advanced complexity and fantasy genre make it a great choice for experienced gamers.
"suggest(name[Apple Shampoo], from_album[Dude Ranch])",What do you think makes deduction board games an average board game?
"suggest(name[Macarena], is_from_album[True])"," I think Mystery Motive for Murder is an average board game. With a maximum number of players of 5 and a publication year of 2015, it's still a great choice for a game night."
"suggest(name[Feel Again], is_from_album[True])"," Have you ever heard of Descent Journeys in the Dark, the Fantasy Flight Games fantasy board game?"
"suggest(name[Mad Love], is_from_album[True])"," Have you ever played a board game, like HeroQuest?"
"suggest(name[Get Up!], from_album[The Path of Totality])",What's a straightforward card game in the board game domain?
"suggest(name[Anti-Hero], producer[Jack Antonoff])"," Are you talking about Mangala, the abstract strategy board game based on mancala?"
"suggest(name[Marilyn Monroe], publication_year[2014])",Axis and Allies is a board wargame published by Avalon Hill in 1981 with an average rating and a maximum of 5 players.
"suggest(name[For a Friend], is_from_album[True])",Enchanted Forest is a simple fantasy board game with a maximum playing time of 60 minutes.
"suggest(name[Stargazing], instance_of[single])",What board game do you find most confusing?
"suggest(name[Every Breath You Take], is_from_album[True])"," Lord of the Rings is an average board game, but I find it interesting due to its 2000 publication year and its connection to The Lord of the Rings."
"suggest(name[Que Calor], genres[Latin music])",Betrayal at House on the Hill is an average board game. The minimum number of players of 3 makes it great for a small group.
"suggest(name[Feel Again], from_album[Native])"," Descent Journeys in the Dark is a great board game. The fantasy genre and 2005 publication year make it a timeless classic, and the good rating speaks for itself."
"suggest(name[Old Town Road], publication_year[2018])",Axis and Allies is a board wargame published by Avalon Hill with a minimum playing time of 180 minutes.
"suggest(name[As It Was], publication_year[2022])"," Have you ever played a board game for 6 players, like Scotland Yard?"
"suggest(name[Stereotypes], is_from_album[True])"," Have you ever played a board game from the United States of America for up to 8 players, like Monopoly?"
"suggest(name[Over It], instance_of[single])"," Have you played Betrayal at House on the Hill, the cooperative board game?"
"suggest(name[Y.M.C.A.], producer[Jacques Morali])",Descent Journeys in the Dark is a 2005 fantasy board game with a good rating.
"suggest(name[I Still...], genres[pop music])"," Are you referring to the Hasbro roll-and-move board game, Monopoly?"
"suggest(name[Style], is_from_album[True])"," Have you heard of HeroQuest, the fantasy board game?"
"suggest(name[Sweet Home Alabama], publication_year[1974])",What's the most confusing board game you can play with up to 5 players?
"suggest(name[Blinding Lights], genres[synthwave])",HeroQuest is a complex fantasy board game with a good rating. It can be played with 2 to 5 players in a minimum of 90 minutes.
"suggest(name[Wanna Get to Know You], record_label[G-Unit Records])"," Chicago is a complex strategy board game published by Playmix, for 2 to 4 players. It has a poor rating."
"suggest(name[Money for Nothing], is_from_album[True])",Scotland Yard is a 1983 cooperative deduction board game for 3 to 6 players with a minimum playing time of 45 minutes.
"suggest(name[I Was Gonna Cancel], producer[Pharrell Williams])",Spirit Island is an excellent board game. The advanced complexity and 90 minute minimum playing time make it a great choice for experienced gamers.
"suggest(name[Money, Cash, Hoes], producer[Swizz Beatz])",War of 1812 is an average board game in my opinion. The maximum number of players of 2 make it suited for a more intimate game night.
"suggest(name[For a Friend], publication_year[1988])",What's an engaging board game you can play with at least 3 players?
"suggest(name[Poison], from_album[Killer Love])"," Have you heard of Enchanted Forest, a fantasy board game developed by Michel Matschoss?"
"suggest(name[Kings of the Wild Frontier], instance_of[musical work/composition])"," Have you ever played a board game in the fantasy genre, like HeroQuest?"
"suggest(name[Viva la Vida], from_album[Viva la Vida or Death and All His Friends])",Stratego is a board wargame that requires a minimum of 2 players and 45 minutes of playtime. It has an average rating.
"suggest(name[All or Nothing], record_label[Arista Records])"," Risk is a board wargame published by Miro Company and developed by Albert Lamorisse. It requires a minimum of 2 players and has a minimum playing time of 120 minutes, with a maximum of 6 players. It has an average rating."
"suggest(name[Kings of the Wild Frontier], from_album[Kings of the Wild Frontier])"," You said Monopoly was boring. Is this usually how you feel about roll-and-move, resource management board games?"
"suggest(name[I Was Gonna Cancel], genres[synth-pop])",Have you heard of the fantasy board game Descent Journeys in the Dark?
"suggest(name[Que Calor], record_label[Mad Decent])",Sherlock Holmes Consulting Detective is a deduction board game published by Space Cowboys in 1981. It has a maximum playing time of 120 minutes.
"suggest(name[Money, Cash, Hoes], instance_of[single])",Lord of the Rings is a fantasy board game developed by Reiner Knizia with an average rating. It has a minimum playing time of 20 minutes.
"suggest(name[So Good], instance_of[single], is_from_album[True])",What makes you not like roll-and-move board games?
"suggest(name[So Good], instance_of[song], is_from_album[True])",What's an engaging board game you can play with up to 8 players?
"suggest(name[Evolution], instance_of[single], is_from_album[True])",What's the most frustrating board game you've ever played?
"suggest(name[We Are the World], instance_of[single], is_from_album[True])",You liked A Game of Thrones. Do you think all Fantasy Flight Games' fantasy board games are good?
"suggest(name[Poison], is_from_album[True], publication_year[2010])",HeroQuest is a complex fantasy board game published by Games Workshop.
"suggest(name[Break My Soul], producer[The-Dream], is_from_album[True])",You didn't like Monopoly. Do you usually find roll-and-move board games from Hasbro to be boring?
"suggest(name[Poison], instance_of[song], is_from_album[True])",What's the most confusing abstract strategy board game you've ever played?
"suggest(name[Wild], is_from_album[True], instance_of[song])"," Have you ever heard of Axis and Allies, or its alternate name Axis and Allies? It's a board game."
"suggest(name[I Still...], is_from_album[True], genres[pop music])"," Yomi is an average board game, but I find it to be quite challenging due to its complex complexity rating."
"suggest(name[Paint It Black], from_album[Aftermath], is_from_album[True])"," Have you ever played a board game, like Yomi?"
"suggest(name[I Still...], producer[Max Martin], is_from_album[True])",Descent Journeys in the Dark is a fantasy board game with a good rating.
"suggest(name[Somebody That I Used to Know], is_from_album[True], instance_of[single])",What's a straightforward German-style board game?
"suggest(name[Afterlife], performer[Arcade Fire], is_from_album[True])"," I think Enchanted Forest is an average board game. With a fantasy genre published by Ravensburger, it offers a great escape into a magical world."
"suggest(name[Wild], is_from_album[True], genres[synth-pop])",You said Mystery Motive for Murder was just okay. Do you usually find mystery fiction board games to be mediocre?
"suggest(name[All or Nothing], producer[Frank Farian], is_from_album[True])","
Are you referring to Afrikan tähti (or African Star, Diamond Hunt), the board game from Finland?"
"suggest(name[Cold Heart], instance_of[single], is_from_album[False])",You said Carcassonne was good. Do you usually like board games from Hans im Glück?
"suggest(name[Break My Soul], is_from_album[True], genres[diva house])"," Lord of the Rings, developed by Reiner Knizia, is a simple fantasy board game based on The Lord of the Rings. It has an average rating and can be played with up to 5 players in a minimum of 20 minutes."
"suggest(name[For a Friend], from_album[Red], instance_of[song])"," Monopoly is a classic board game, but the poor rating is accurate. The moderate complexity and resource management game mechanics make it not very enjoyable."
"suggest(name[Paint It Black], is_from_album[True], genres[rock music])",Chicago is a strategy board game for up to 4 players with a minimum playing time of 90 minutes.
"suggest(name[Apple Shampoo], is_from_album[True], genres[pop punk])","
Are you talking about the board game Yomi (or Yomi: Fighting Card Game)?"
"suggest(name[Seven Nation Army], from_album[Elephant], is_from_album[True])"," Have you ever played a Ravensburger board game for up to 6 players, like Scotland Yard?"
"suggest(name[Right Here, Right Now], is_from_album[True], from_album[D茅j脿 Vu])suggest(name[Stereotypes], performer[Blur], producer[Stephen Street])",Descent Journeys in the Dark is a good board game in my opinion. The minimum number of players of 2 and the publication year of 2005 make it a great choice for a game night.
"suggest(name[Anti-Hero], genres[synth-pop], instance_of[musical work/composition])"," Monopoly is a classic board game from the United States of America, developed by Elizabeth Magie. Unfortunately, the poor rating is accurate."
"suggest(name[The Way I Are], is_from_album[True], from_album[All Your Fault: Pt. 2])"," Have you ever played a board game published by Fantasy Flight Games, like Descent Journeys in the Dark?"
"suggest(name[I], instance_of[single], producer[Rahki])",What's the most strategic card game in the board game domain?
"suggest(name[Space Oddity], producer[Gus Dudgeon], is_from_album[True])",
"suggest(name[We Are the World], is_from_album[True], genres[gospel music])",
"suggest(name[Old Town Road], record_label[Columbia Records], is_from_album[True])",
"suggest(name[Careless Whisper], record_label[Columbia Records], is_from_album[True])",
"suggest(name[I], publication_year[2014], producer[Rahki])",
"suggest(name[Kings of the Wild Frontier], is_from_album[True], publication_year[1980])",
"suggest(name[Matador], instance_of[musical work/composition], from_album[Vasos vac铆os])",
"suggest(name[Somebody That I Used to Know], publication_year[2011], producer[Gotye])",
"suggest(name[Anti-Hero], record_label[Republic Records], instance_of[musical work/composition])",
"suggest(name[Poison], instance_of[single], publication_year[2010])",
"suggest(name[Mr. Brightside], from_album[Hot Fuss], genres[indie rock])",
"suggest(name[Stairway to Heaven], instance_of[musical work/composition], publication_year[1971])",
"suggest(name[Evolution], performer[Korn], publication_year[2007])",
"suggest(name[Somebody That I Used to Know], producer[Gotye], performer[Gotye, Kimbra])",
"suggest(name[Mr. Brightside], producer[The Killers], record_label[Island Records])",
"suggest(name[Money for Nothing], record_label[Vertigo], from_album[Brothers in Arms])",
"suggest(name[Seven Nation Army], producer[Jack White], from_album[Elephant])",
"suggest(name[Mr. Brightside], record_label[Island Records], producer[The Killers])",
"suggest(name[Money, Cash, Hoes], producer[Swizz Beatz], is_from_album[True])",
"suggest(name[Sweet Home Alabama], performer[Lynyrd Skynyrd], is_from_album[True])",
"suggest(name[We Are the World], from_album[We Are the World], publication_year[1985])",
"suggest(name[Dragostea Din Tei], from_album[DiscO-Zone], instance_of[musical work/composition])",
"suggest(name[Wanna Get to Know You], record_label[G-Unit Records], from_album[Beg for Mercy])",
"suggest(name[Feel Again], instance_of[single], performer[OneRepublic])",
"suggest(name[Poison], instance_of[single], from_album[Killer Love])",
"suggest(name[Mr. Brightside], record_label[Island Records], genres[indie rock])",
"suggest(name[Marilyn Monroe], instance_of[single], from_album[Girl])",
"suggest(name[Get Up!], from_album[The Path of Totality], record_label[Roadrunner Records])",
"suggest(name[King of Sorrow], from_album[Lovers Rock], performer[Sade])",
"suggest(name[Black Barbies], instance_of[song], genres[hip hop music])",
"suggest(name[Poison], instance_of[song], record_label[Interscope Records])",
"suggest(name[Space Oddity], record_label[Philips Records], instance_of[single])",
"suggest(name[Over It], genres[contemporary R&B], producer[Billy Steinberg])",
"suggest(name[Take My Breath Away], instance_of[musical work/composition], publication_year[1986])",
"suggest(name[Stereotypes], producer[Stephen Street], performer[Blur])",
"suggest(name[Habibi], performer[Costi Ioni葲膬, Shaggy], is_from_album[False])",
"suggest(name[Anti-Hero], instance_of[musical work/composition], record_label[Republic Records])",
"suggest(name[Pumped Up Kicks], instance_of[single], producer[Mark Foster])",
"suggest(name[Stereotypes], record_label[Food Records], performer[Blur])",
"suggest(name[Blurred Lines], producer[Pharrell Williams], performer[Robin Thicke, Pharrell Williams])",
"suggest(name[Blinding Lights], record_label[Republic Records], publication_year[2019])",
"suggest(name[Que Calor], instance_of[musical work/composition], producer[Diplo])",
"suggest(name[Old Town Road], record_label[Columbia Records], publication_year[2018])",
"suggest(name[Pumped Up Kicks], performer[Foster the People], instance_of[single])",
"suggest(name[I Was Gonna Cancel], record_label[Parlophone], performer[Kylie Minogue])",
"suggest(name[Money for Nothing], instance_of[song], record_label[Vertigo])",
"suggest(name[Matador], from_album[Vasos vac铆os], record_label[Sony Music])",
"suggest(name[Space Oddity], instance_of[song], performer[David Bowie])",
"suggest(name[Mad Love], genres[electropop], publication_year[2019])",
"suggest(name[Mad Love], instance_of[single], genres[electropop])",
"suggest(name[Y.M.C.A.], producer[Jacques Morali], publication_year[1978])",
"suggest(name[I Was Gonna Cancel], genres[synth-pop], performer[Kylie Minogue])",
"suggest(name[Space Oddity], publication_year[1969], record_label[Mercury Records])",
"suggest(name[Stargazing], record_label[Sony Music], publication_year[2017])",
"suggest(name[King of Sorrow], record_label[Epic Records], producer[Sade Adu])",
"suggest(name[The Way I Are], record_label[Warner Bros. Records], from_album[All Your Fault: Pt. 2])",
"suggest(name[Money, Cash, Hoes], from_album[Vol. 2... Hard Knock Life], record_label[Def Jam Recordings])",
"suggest(name[Habibi], genres[dancehall], producer[Costi Ioni葲膬])",
"suggest(name[Bitter Sweet Symphony], performer[The Verve], genres[alternative rock])",
"suggest(name[Que Calor], producer[Diplo], performer[J Balvin, Major Lazer])",
"suggest(name[Viva la Vida], publication_year[2008], genres[baroque pop])",
"suggest(name[Kings of the Wild Frontier], instance_of[musical work/composition], publication_year[1980])",
"suggest(name[Stairway to Heaven], from_album[Led Zeppelin IV], publication_year[1971])",
"suggest(name[Habibi], performer[Costi Ioni葲膬, Faydee], publication_year[2014])",
"suggest(name[Cold Heart], publication_year[2021], performer[Dua Lipa, Elton John])",
"suggest(name[Viva la Vida], genres[baroque pop], performer[Coldplay])",
"suggest(name[Waka Waka], publication_year[2010], from_album[Listen Up! The Official 2010 FIFA World Cup Album])",
"suggest(name[Habibi], genres[reggaeton], record_label[Sony Music])",
"suggest(name[Mad Love], from_album[Mabel singles discography], instance_of[single])",
"suggest(name[Hold My Hand], instance_of[single], producer[Lady Gaga])",
"suggest(name[Stargazing], performer[Kygo, Justin Jesso], instance_of[single])",
"suggest(name[Que Calor], performer[J Balvin, El Alfa], genres[Latin music])",
"suggest(name[Black Barbies], instance_of[single], performer[Nicki Minaj])",
"suggest(name[Viva la Vida], genres[baroque pop], instance_of[single])",
"verify_attribute(name[Waka Waka], rating[excellent], instance_of[single])",
"verify_attribute(name[Poison], rating[excellent], is_from_album[True])",
"verify_attribute(name[Matador], rating[excellent], producer[K. C. Porter])",
"verify_attribute(name[Kings of the Wild Frontier], rating[good], from_album[Kings of the Wild Frontier])",
"verify_attribute(name[Marilyn Monroe], rating[excellent], producer[Pharrell Williams])",
"verify_attribute(name[Careless Whisper], rating[excellent], genres[pop music])",
"verify_attribute(name[Matador], rating[excellent], from_album[Vasos vac铆os])",
"verify_attribute(name[Every Breath You Take], rating[excellent], is_from_album[True])",
"verify_attribute(name[Over It], rating[good], performer[Katharine McPhee])",
"verify_attribute(name[Pumped Up Kicks], rating[excellent], is_from_album[True])",
"verify_attribute(name[Marilyn Monroe], rating[excellent], performer[Pharrell Williams])",
"verify_attribute(name[Stairway to Heaven], rating[excellent], is_from_album[True])",
"verify_attribute(name[I Still...], rating[excellent], from_album[Never Gone])",
"verify_attribute(name[Break My Soul], rating[excellent], from_album[Renaissance])",
"verify_attribute(name[Pumped Up Kicks], rating[excellent], producer[Mark Foster])",
"verify_attribute(name[I Still...], rating[excellent], instance_of[single])",
"verify_attribute(name[Evolution], rating[excellent], instance_of[single])",
"verify_attribute(name[Seven Nation Army], rating[excellent], is_from_album[True])",
"verify_attribute(name[I Was Gonna Cancel], rating[good], instance_of[musical work/composition])",
"verify_attribute(name[Macarena], rating[excellent], performer[Los del R铆o])",
"verify_attribute(name[Over It], rating[good], from_album[Katharine McPhee])",
"verify_attribute(name[The Way I Are], rating[excellent], record_label[Warner Bros. Records])",
"verify_attribute(name[Somebody That I Used to Know], rating[excellent], record_label[Universal Music Group])",
"verify_attribute(name[Black Barbies], rating[excellent], is_from_album[False])",
"verify_attribute(name[Money, Cash, Hoes], rating[good], instance_of[single])",
"verify_attribute(name[As It Was], rating[excellent], from_album[Harry's House])",
"verify_attribute(name[Money for Nothing], rating[excellent], is_from_album[True])",
"verify_attribute(name[I], rating[excellent], from_album[To Pimp a Butterfly])",
"verify_attribute(name[Littlest Things], rating[good], producer[Mark Ronson])",
"verify_attribute(name[Style], rating[excellent], producer[Max Martin])",
"verify_attribute(name[Break My Soul], rating[excellent], is_from_album[True])",
"verify_attribute(name[Take My Breath Away], rating[excellent], is_from_album[True])",
"verify_attribute(name[Over It], rating[good], instance_of[single])",
"verify_attribute(name[Blurred Lines], rating[excellent], from_album[Blurred Lines])",
"verify_attribute(name[Every Breath You Take], rating[excellent], performer[The Police])",
"verify_attribute(name[Waka Waka], rating[excellent], producer[Shakira])",
"verify_attribute(name[Viva la Vida], rating[excellent], is_from_album[True])",
"verify_attribute(name[Stereotypes], rating[good], genres[Britpop])",
"verify_attribute(name[I Was Gonna Cancel], rating[good], from_album[Kiss Me Once])",
"verify_attribute(name[We Are the World], rating[excellent], performer[USA for Africa])",
"verify_attribute(name[Que Calor], rating[excellent], record_label[Mad Decent])",
"verify_attribute(name[Anti-Hero], rating[excellent], record_label[Republic Records])",
"verify_attribute(name[Style], rating[excellent], instance_of[song])",
"verify_attribute(name[Right Here, Right Now], rating[good], genres[electro])",
"verify_attribute(name[Blinding Lights], rating[excellent], record_label[Republic Records])",
"verify_attribute(name[Old Town Road], rating[excellent], publication_year[2018])",
"verify_attribute(name[King of Sorrow], rating[excellent], genres[contemporary R&B])",
"verify_attribute(name[Somebody That I Used to Know], rating[excellent], performer[Gotye, Kimbra])",
"verify_attribute(name[Kings of the Wild Frontier], rating[good], producer[Chris Hughes])",
"verify_attribute(name[The Way I Are], rating[excellent], genres[pop music])",
"verify_attribute(name[Waka Waka], rating[excellent], producer[John Hill])",
"verify_attribute(name[King of Sorrow], rating[excellent], is_from_album[True])",
"verify_attribute(name[Old Town Road], rating[excellent], instance_of[single])",
"verify_attribute(name[In My Bed], rating[excellent], is_from_album[True])",
"verify_attribute(name[Somebody That I Used to Know], rating[excellent], genres[indie pop])",
"verify_attribute(name[About Damn Time], rating[good], instance_of[single])",
"verify_attribute(name[For a Friend], rating[mediocre], from_album[Red])",
"verify_attribute(name[Habibi], rating[excellent], genres[dancehall])",
"verify_attribute(name[Stereotypes], rating[good], publication_year[1996])",
"verify_attribute(name[Wanna Get to Know You], rating[good], record_label[G-Unit Records])",
"verify_attribute(name[We Are the World], rating[excellent], from_album[We Are the World])",
"verify_attribute(name[Kings of the Wild Frontier], rating[good], record_label[Sony Music])",
"verify_attribute(name[Stargazing], rating[excellent], producer[Kygo])",
"verify_attribute(name[Right Here, Right Now], rating[good], from_album[D茅j脿 Vu])",
"verify_attribute(name[Mr. Brightside], rating[excellent], publication_year[2003])",
"verify_attribute(name[I Was Gonna Cancel], rating[good], performer[Kylie Minogue])",
"verify_attribute(name[Marilyn Monroe], rating[excellent], is_from_album[True])",
"verify_attribute(name[Wanna Get to Know You], rating[good], is_from_album[True])",
"verify_attribute(name[Right Here, Right Now], rating[good], instance_of[single])",
